bvid,title,author,pub_date,duration_sec,views,danmaku,reply,favorite,coin,share,like,score,engagement_rate
BV1qNZEYvE9p,智慧即美德，愚蠢即罪恶,醒醒吧张律-,2025-03-31 06:16:43,55,1354191,257,643,8819,641,419,88452,0,7.26
BV1eMZqYLEG8,甲亢哥保镖来中国没想到这么轻松 工作变度假了,网上邻居丨,2025-03-30 07:41:25,60,3183603,167,1447,8393,917,799,152988,0,5.12
BV1kXZBYPEZb,白莲教为何能打断大清盛世？【近代的前夜】,御史房,2025-03-30 12:01:13,1523,1435741,6892,3321,21246,11492,1499,48348,0,5.75
BV1ZXZnYgEX8,甲亢哥中国行 公知又被打脸,树根龙门阵,2025-03-31 11:00:00,285,664494,901,1263,3048,823,402,30811,0,5.28
BV1HVoXYPEcP,中国现在，非常缺蛙！【地球知识局】,地球知识局,2025-03-31 12:00:00,492,1261863,3864,2251,7574,2917,2933,41993,0,4.39
BV1EsfcYQEuJ,老君的烦恼：世界变成这样，到底是谁的错？,啊粥粥啊粥,2025-04-02 09:30:00,1642,1765379,4174,1750,15539,14690,1804,51121,0,4.71
BV1DuQtYwEG3,细思极恐！画的是繁华盛世，实际却是亡国预言！,小透明明TM,2025-03-28 09:30:00,910,6345865,8925,4672,268404,95078,9821,192553,0,8.92
BV1jLZnYiEx2,警察都气炸了！男子撞死老人逃逸，被抓后称自己赶去卖瓜不叫逃跑,央视网快看,2025-03-31 09:26:20,1015,830300,2469,3472,2082,386,881,14057,0,2.1
BV1eXo9YxEEC,秦汉纹样（中国纹样发展史-第7集）,珑师傅_,2025-03-28 14:33:56,232,3020957,1689,1270,43739,7186,4884,244966,0,9.96
BV1MsZEYQEJ3,袭警和袭军哪个更严重？,马生序00,2025-03-31 06:32:41,71,1880830,108,233,5792,303,218,46480,0,2.81
BV1YyZHYvEVq,36年抓不住他，印度头号通缉犯，印度史上最大规模最漫长追捕,奇闻观察室,2025-04-01 03:30:00,1514,1118659,5167,972,6159,4919,664,31340,0,3.85
BV1MhZnYxEj7,《不同学历的机械学生面积毕业时》,明丫杠,2025-03-31 10:06:35,94,1008943,76,424,1286,402,284,48365,0,4.99
BV1UHZqYiEgU,不懈努力迎来转机，MH370重启搜寻,诗食史事,2025-03-30 14:00:00,1224,836519,325,214,22711,2103,286,6152,0,3.74
BV1v9Z8YhEPw,小米SU7起火如何追责？司机不排除主要责任，产品质量需鉴定,老梁不郁闷,2025-04-01 14:36:14,477,532208,3058,11761,1486,954,1250,11442,0,2.84
BV1bsZzYGEFX,现代复合弓的工作原理与使用方法,鹰眼科普,2025-03-30 11:44:40,338,3396005,419,698,18794,1383,420,15621,0,1.07
BV1RFoSYLETz,激荡四十年番外篇（上）：一个90后的千禧之梦,猛士团_,2025-03-29 11:00:00,2338,1261694,9833,2966,34682,41844,6382,49077,0,10.46
BV19VZrYtEf7,又遥遥领先了！胖东来“恶性”涨薪上热搜？,败家财经,2025-03-30 14:32:09,165,571574,1735,4033,3748,1400,2416,52665,0,10.54
BV1z9ZwYoEb8,指甲的秘密，指甲上的月牙、竖纹都代表着什么？,硬核科普-,2025-03-29 12:10:00,62,5375423,475,3011,26686,2109,6651,115509,0,2.81
BV1hQoQYEEr7,B站的朋友们，大家好！我是易中天,易中天,2025-03-28 04:00:00,143,5074883,9452,3813,41697,87347,10533,419199,0,11.01
BV1zbZHY1ErH,冰鲜的南方人，你们比北方还冷,中气爱怎么说,2025-03-31 15:10:18,98,455695,614,2737,1210,260,2589,30747,0,7.64
BV1uGZGYiErT,恋爱中的心锚效应,王凌雁,2025-03-30 10:00:00,31,1162239,42,584,14392,444,725,53910,0,5.98
BV1bZZxYGEwn,【中字】和正实部杂鱼酱接吻了？BA愚人节小游戏玩挺大…,里芙,2025-04-01 05:55:31,185,332899,138,733,10317,704,2503,14512,0,8.42
BV1MSoiYvEP9,如果太后怀孕了该怎么办？,穆金荣-穷历史,2025-04-02 10:00:00,516,2434273,5345,3208,8139,976,1104,39785,0,2.05
BV1N1oXYGE3i,用液压机压造出一枚硬币,疯狂实验室Hydraulic,2025-03-30 11:00:00,495,1347362,896,1021,2615,625,300,27035,0,2.27
BV182ZJYxEzm,大阪冈田里香事件 | X调查,X调查,2025-04-01 11:00:00,1665,920164,5978,1240,3579,4309,1146,22833,0,3.46
BV11to9YkE1i,驾照竟然还有这么多隐藏用法！,大瑞真机灵,2025-03-30 11:00:00,81,1074365,34,99,41454,1484,178,11017,0,5.04
BV1uFZBY6EzZ,大气压强,瑾轩的物理小零食,2025-03-30 04:59:39,79,3358542,326,681,96013,5449,5226,127915,0,6.99
BV17GZpYjEiR,用PS两步搞定塑料包装贴图,设计师小海,2025-03-31 13:03:40,65,561825,146,502,38803,1917,894,66396,0,19.22
BV1UrZBYrEWr,洋蓟原来这么吃？一颗蔬菜只吃最中心的部分,全球趣事儿,2025-03-30 13:35:11,45,1536406,243,1368,758,323,230,24989,0,1.71
BV1xDZJYXE9e,一口气看完善终的末代君主,说书者也,2025-03-31 10:31:26,198,662721,617,1201,4831,405,186,42981,0,7.3
BV1GHZnYaENC,广西版“流浪地球”计划启动！又一个逆天改命的超级工程！,工程人发哥,2025-03-31 10:13:34,41,801081,174,881,1569,215,281,32345,0,4.3
BV1fAZzY4E26,广东餐馆老板的工匠精神,O加加加,2025-03-30 12:19:03,78,1203231,192,702,3149,441,267,77849,0,6.79
BV1vDZtYREaB,缅甸为什么总这么乱？,肝帝董佳宁,2025-04-01 11:19:22,759,508851,1066,571,1799,1256,322,20953,0,4.78
BV14fZcYvEXp,逃离食人花！！黄花版~,MarbleDance,2025-03-29 12:00:00,282,4671246,917,109,51577,1855,163,23167,0,1.64
BV1SWZrYDEnf,小约翰可汗的梗都出自哪里？（第三弹）,秋坟鬼夜哭,2025-03-30 16:55:34,1146,663221,1646,649,11026,18277,753,30027,0,9.06
BV17wo9YhEw7,在日本，为啥地雷女都喜欢喝魔爪？,言趣教育妍一老师,2025-03-28 11:00:00,308,6005268,2660,3229,57572,3980,4228,47059,0,1.88
BV1BQZCYgE2R,法国造孽、狠人救国、教员思想：被西方篡改的卢旺达大屠杀前后真相,江湖弃子,2025-03-31 02:19:22,1010,798586,1183,570,6638,5039,820,25335,0,4.74
BV1xjfNYCEza,台湾专家称解放军卫星盯着“赖清德上班和回家的路”,央视网,2025-04-02 06:43:11,29,506220,61,721,902,222,390,33836,0,6.98
